e_T,perf_T,conf_T,e_total,perf_total,conf_total,e_norm,perf_norm,conf_norm,e_unnorm,perf_unnorm,conf_unnorm,e_furl,perf_furl,conf_furl
1.031114092,0.7,-0.460960603,0.894639637,0.66,-0.23811805,0.006832444,0.62,-0.207567055,0.143085674,0.86,-0.387278791,-1.248677175,0.62,0.252494989
1.414328695,0.86,0.335162388,1.50523296,0.58,0.063797666,0.261330178,0.78,0.117711187,0.4604242,0.52,0.137479478,-0.623725123,0.62,-0.14287083
1.581498097,0.38,-0.146465065,2.035783307,0.64,0.277654632,0.409249865,0.7,-0.128493891,0.645302224,0.74,0.008087028,-0.12026146,0.7,-0.189595882
1.849960823,0.8,0.27226328,2.831963,0.86,-0.103334248,0.670053597,0.64,0.218349759,1.036308622,0.62,0.241712285,6.72794893,0.8,0.079971723
0.81388709,0.3,-0.144564035,0.498226948,0.48,-0.089903007,-0.834620452,0.4,-0.075518526,0.118736329,0.28,-0.213609544,-2.112595165,0.74,0.166140756
1.339469958,0.9,-0.179086789,1.488860437,0.7,-0.000719224,0.189425172,0.74,0.051064908,0.325942863,0.74,0.266832124,-0.448498121,0.74,-0.009349913
1.456460164,0.38,-0.101410592,1.953911058,0.66,0.068326285,0.374949569,0.68,-0.040995771,0.629186135,0.82,-0.158948516,-0.001137001,0.32,-0.029488186
1.632236494,0.88,0.425061415,2.668075153,0.62,0.022295946,0.94003591,0.64,0.065449389,0.860256343,0.62,0.105725936,1.788012578,0.66,-0.127302657
0.765039109,0.84,-0.068644501,0.025077768,0.84,0.324845239,-0.365113064,0.76,0.316197112,0.04213065,0.62,0.128100369,-2.86773301,0.74,-0.059996375
0.895443502,0.9,0.391868216,1.095396905,0.7,0.110804116,0.057697843,0.64,-0.098912943,0.099307961,0.78,-0.103237006,-0.379812591,0.64,0.061077391
1.01782301,0.36,0.084859738,1.817636623,0.6,-0.250255151,0.21424714,0.46,0.000540508,0.309961212,0.42,-0.088102785,-0.059097843,0.7,0.169178968
1.767146717,0.46,-0.408083453,2.374363072,0.42,-0.185394204,0.817547059,0.7,-0.217824677,1.027185377,0.74,0.063239422,0.357659597,0.48,-0.170259984
